city_lat,city_lon,city_class
0.6276116723709009,-1.3920746113906772,Pleasant Garden
0.7473185697774359,-1.3758866825784297,Lackawanna
0.5252585837169454,-1.668873358781466,Tomball
0.7411523215301401,-1.4518067597109312,Oak Park
0.739939317700004,-1.4495989182071582,Hamtramck
0.7123090103116818,-1.2840317493752202,Brookville
0.7002976543994568,-1.447244469046218,Westerville
0.7112181795291853,-1.2880111000697674,Queens
0.7417404974880621,-1.4518573742592389,Berkley
0.453389415778323,-1.4021119999188967,Miramar
0.6277809693083444,-1.4651969257322317,Knoxville
0.6978908453609566,-1.4483702064137545,Columbus
0.627931067624016,-1.4679807258891626,Karns
0.6837414611150385,-1.348516429248655,Germantown
0.6256830835474472,-1.508175658562592,Murfreesboro
0.5733511312556492,-1.6893687601876355,University Park
0.7345968648596494,-1.3258987074720603,Binghamton University
